0	0
0.0333333	0.410673
0.0666667	0.489315
0.1	0.50267
0.133333	0.505108
0.166667	0.506012
0.2	0.506796
0.233333	0.506598
0.266667	0.507371
0.3	0.50742
0.333333	0.508134
0.366667	0.50943
0.4	0.511015
0.433333	0.512426
0.466667	0.513097
0.5	0.513727
0.533333	0.514169
0.566667	0.514536
0.6	0.515234
0.633333	0.516932
0.666667	0.517397
0.7	0.517719
0.733333	0.51748
0.766667	0.516641
0.8	0.516144
0.833333	0.513682
0.866667	0.512669
0.9	0.512169
0.933333	0.512667
0.966667	0.51245
1	0.512993
1.03333	0.513953
1.06667	0.513509
1.1	0.514294
1.13333	0.514831
1.16667	0.516875
1.2	0.515823
1.23333	0.515499
1.26667	0.513775
1.3	0.514496
1.33333	0.516705
1.36667	0.516956
1.4	0.517882
1.43333	0.519321
1.46667	0.520376
1.5	0.521388
1.53333	0.521679
1.56667	0.523529
1.6	0.52437
1.63333	0.5257
1.66667	0.525892
1.7	0.527421
1.73333	0.528621
1.76667	0.528461
1.8	0.528933
1.83333	0.530411
1.86667	0.532811
1.9	0.540732
1.93333	0.548931
1.96667	0.558423
2	0.567405
2.03333	0.577853
2.06667	0.587467
2.1	0.595338
2.13333	0.599888
2.16667	0.60154
2.2	0.598787
2.23333	0.595058
2.26667	0.591646
2.3	0.589823
2.33333	0.58852
2.36667	0.587002
2.4	0.585451
2.43333	0.594159
2.46667	0.602906
2.5	0.595704
2.53333	0.565914
2.56667	0.519028
2.6	0.464664
2.63333	0.406027
2.66667	0.347676
2.7	0.297393
2.73333	0.265187
2.76667	0.250838
2.8	0.247999
2.83333	0.25649
2.86667	0.275072
2.9	0.303876
2.93333	0.339569
2.96667	0.377532
3	0.416336
3.03333	0.454854
3.06667	0.48758
3.1	0.517698
3.13333	0.541901
3.16667	0.557685
3.2	0.564157
3.23333	0.562452
3.26667	0.565208
3.3	0.572399
3.33333	0.576861
3.36667	0.573201
3.4	0.562706
3.43333	0.552358
3.46667	0.548962
3.5	0.553651
3.53333	0.561237
3.56667	0.568555
3.6	0.573851
3.63333	0.576611
3.66667	0.578243
3.7	0.578677
3.73333	0.577345
3.76667	0.574175
3.8	0.568088
3.83333	0.561563
3.86667	0.556947
3.9	0.555728
3.93333	0.55852
3.96667	0.56398
4	0.571041
4.03333	0.57802
4.06667	0.585974
4.1	0.59661
4.13333	0.603277
4.16667	0.598613
4.2	0.580494
4.23333	0.555853
4.26667	0.532689
4.3	0.511184
4.33333	0.489905
4.36667	0.467632
4.4	0.44806
4.43333	0.428562
4.46667	0.409894
4.5	0.394355
4.53333	0.381807
4.56667	0.370501
4.6	0.366084
4.63333	0.369092
4.66667	0.379162
4.7	0.397375
4.73333	0.421216
4.76667	0.447181
4.8	0.468829
4.83333	0.48294
4.86667	0.500888
